2026-04-21 16:44:24.905369
segundo,ampere,volt,NA,segundo,volt,volt
Tiempo,Corriente,Pulso,CantidadPulsos,AnchoPulso,Tension fija,Vds
0,0.00120096,0,0,0,0,-5
1,0.00120102,0,0,0,0,-5
2,0.00120107,0,0,0,0,-5
2.003,0.00120107,5.0,0,0.3,0,-5
2.0060000000000002,0.00120107,5.0,0,0.3,0,-5
2.0090000000000003,0.00120107,5.0,0,0.3,0,-5
2.0120000000000005,0.00120107,5.0,0,0.3,0,-5
2.0150000000000006,0.00120107,5.0,0,0.3,0,-5
2.0180000000000007,0.00120107,5.0,0,0.3,0,-5
2.021000000000001,0.00120107,5.0,0,0.3,0,-5
2.024000000000001,0.00120107,5.0,0,0.3,0,-5
2.027000000000001,0.00120107,5.0,0,0.3,0,-5
2.030000000000001,0.00120107,5.0,0,0.3,0,-5
2.0330000000000013,0.00120107,5.0,0,0.3,0,-5
2.0360000000000014,0.00120107,5.0,0,0.3,0,-5
2.0390000000000015,0.00120107,5.0,0,0.3,0,-5
2.0420000000000016,0.00120107,5.0,0,0.3,0,-5
2.0450000000000017,0.00120107,5.0,0,0.3,0,-5
2.048000000000002,0.00120107,5.0,0,0.3,0,-5
2.051000000000002,0.00120107,5.0,0,0.3,0,-5
2.054000000000002,0.00120107,5.0,0,0.3,0,-5
2.057000000000002,0.00120107,5.0,0,0.3,0,-5
2.0600000000000023,0.00120107,5.0,0,0.3,0,-5
2.0630000000000024,0.00120107,5.0,0,0.3,0,-5
2.0660000000000025,0.00120107,5.0,0,0.3,0,-5
2.0690000000000026,0.00120107,5.0,0,0.3,0,-5
2.0720000000000027,0.00120107,5.0,0,0.3,0,-5
2.075000000000003,0.00120107,5.0,0,0.3,0,-5
2.078000000000003,0.00120107,5.0,0,0.3,0,-5
2.081000000000003,0.00120107,5.0,0,0.3,0,-5
2.084000000000003,0.00120107,5.0,0,0.3,0,-5
2.0870000000000033,0.00120107,5.0,0,0.3,0,-5
2.0900000000000034,0.00120107,5.0,0,0.3,0,-5
2.0930000000000035,0.00120107,5.0,0,0.3,0,-5
2.0960000000000036,0.00120107,5.0,0,0.3,0,-5
2.0990000000000038,0.00120107,5.0,0,0.3,0,-5
2.102000000000004,0.00120107,5.0,0,0.3,0,-5
2.105000000000004,0.00120107,5.0,0,0.3,0,-5
2.108000000000004,0.00120107,5.0,0,0.3,0,-5
2.111000000000004,0.00120107,5.0,0,0.3,0,-5
2.1140000000000043,0.00120107,5.0,0,0.3,0,-5
2.1170000000000044,0.00120107,5.0,0,0.3,0,-5
2.1200000000000045,0.00120107,5.0,0,0.3,0,-5
2.1230000000000047,0.00120107,5.0,0,0.3,0,-5
2.1260000000000048,0.00120107,5.0,0,0.3,0,-5
2.129000000000005,0.00120107,5.0,0,0.3,0,-5
2.132000000000005,0.00120107,5.0,0,0.3,0,-5
2.135000000000005,0.00120107,5.0,0,0.3,0,-5
2.1380000000000052,0.00120107,5.0,0,0.3,0,-5
2.1410000000000053,0.00120107,5.0,0,0.3,0,-5
2.1440000000000055,0.00120107,5.0,0,0.3,0,-5
2.1470000000000056,0.00120107,5.0,0,0.3,0,-5
2.1500000000000057,0.00120107,5.0,0,0.3,0,-5
2.153000000000006,0.00120107,5.0,0,0.3,0,-5
2.156000000000006,0.00120107,5.0,0,0.3,0,-5
2.159000000000006,0.00120107,5.0,0,0.3,0,-5
2.162000000000006,0.00120107,5.0,0,0.3,0,-5
2.1650000000000063,0.00120107,5.0,0,0.3,0,-5
2.1680000000000064,0.00120107,5.0,0,0.3,0,-5
2.1710000000000065,0.00120107,5.0,0,0.3,0,-5
2.1740000000000066,0.00120107,5.0,0,0.3,0,-5
2.1770000000000067,0.00120107,5.0,0,0.3,0,-5
2.180000000000007,0.00120107,5.0,0,0.3,0,-5
2.183000000000007,0.00120107,5.0,0,0.3,0,-5
2.186000000000007,0.00120107,5.0,0,0.3,0,-5
2.189000000000007,0.00120107,5.0,0,0.3,0,-5
2.1920000000000073,0.00120107,5.0,0,0.3,0,-5
2.1950000000000074,0.00120107,5.0,0,0.3,0,-5
2.1980000000000075,0.00120107,5.0,0,0.3,0,-5
2.2010000000000076,0.00120107,5.0,0,0.3,0,-5
2.2040000000000077,0.00120107,5.0,0,0.3,0,-5
2.207000000000008,0.00120107,5.0,0,0.3,0,-5
2.210000000000008,0.00120107,5.0,0,0.3,0,-5
2.213000000000008,0.00120107,5.0,0,0.3,0,-5
2.216000000000008,0.00120107,5.0,0,0.3,0,-5
2.2190000000000083,0.00120107,5.0,0,0.3,0,-5
2.2220000000000084,0.00120107,5.0,0,0.3,0,-5
2.2250000000000085,0.00120107,5.0,0,0.3,0,-5
2.2280000000000086,0.00120107,5.0,0,0.3,0,-5
2.2310000000000088,0.00120107,5.0,0,0.3,0,-5
2.234000000000009,0.00120107,5.0,0,0.3,0,-5
2.237000000000009,0.00120107,5.0,0,0.3,0,-5
2.240000000000009,0.00120107,5.0,0,0.3,0,-5
2.243000000000009,0.00120107,5.0,0,0.3,0,-5
2.2460000000000093,0.00120107,5.0,0,0.3,0,-5
2.2490000000000094,0.00120107,5.0,0,0.3,0,-5
2.2520000000000095,0.00120107,5.0,0,0.3,0,-5
2.2550000000000097,0.00120107,5.0,0,0.3,0,-5
2.2580000000000098,0.00120107,5.0,0,0.3,0,-5
2.26100000000001,0.00120107,5.0,0,0.3,0,-5
2.26400000000001,0.00120107,5.0,0,0.3,0,-5
2.26700000000001,0.00120107,5.0,0,0.3,0,-5
2.2700000000000102,0.00120107,5.0,0,0.3,0,-5
2.2730000000000103,0.00120107,5.0,0,0.3,0,-5
2.2760000000000105,0.00120107,5.0,0,0.3,0,-5
2.2790000000000106,0.00120107,5.0,0,0.3,0,-5
2.2820000000000107,0.00120107,5.0,0,0.3,0,-5
2.285000000000011,0.00120107,5.0,0,0.3,0,-5
